,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
4478,ContQ,1,1.0,-1,1,0,-3,1,-1,-1,0,0,1,-1,-1,-1,-1,-2,2,-4,-1,-2,0,0.0,2673.7171065498405,1061.1211247472618,1061.1211247472618,-0.3333333333333333,-0.3333333333333333,115.0,296.93,83.0,412.33,0,1,0,0,0,0
4479,ContQ,1,1.0,0,0,0,-3,-3,0,2,0,-4,3,-4,0,-2,-2,0,0,-1,4,0,0,0.0,4090.0667392191162,1022.5166848047792,1022.5166848047792,-0.5,-0.5,110.0,302.41,130.0,271.76,0,1,0,0,0,0
4480,ContQ,1,-1.0,-1,1,1,-3,-2,1,-2,1,-1,0,0,1,1,0,0,2,-2,-1,0,0,0.0,2089.12196308636,696.3739876954534,696.3739876954534,0.3333333333333333,0.3333333333333333,76.0,478.92,73.0,490.25,0,1,0,0,0,0
4481,ContQ,0,1.0,-1,1,-2,-3,2,1,1,-3,-1,-6,1,-2,-3,-2,1,-2,1,1,-1,0,1743.3044605371374,4189.281872129151,837.8563744258303,837.8563744258303,0.4,0.4,107.0,318.91,174.0,117.3,0,1,0,0,0,0
4482,FSS,0,-1.0,0,-3,-3,-1,-2,-1,-7,-2,-2,1,0,-1,-3,1,1,-1,-5,-2,1,-2,1676.1734824468285,2839.275615197686,11.728235130383158,0.0,0.2,0.0,163.0,136.74,93.0,357.36,0,0,1,0,0,0
4483,FSS,0,-1.0,-1,0,-2,-1,-3,-2,-3,-1,-4,-2,-2,-1,-1,0,-3,0,-5,-2,-3,0,1339.7709477151311,1717.910197887218,0.0,0.7673171334106148,0.0,0.25,201.0,5.58,156.0,164.9,0,0,1,0,0,0
4484,FSS,1,1.0,0,1,1,0,0,-2,2,2,0,0,2,1,0,-1,0,-1,0,-1,1,6,0.0,1728.4864961476098,98.16714863427478,344.1396344061413,0.25,0.0,28.0,833.49,54.0,577.06,0,0,1,0,0,0
4485,FSS,1,1.0,1,0,0,-1,2,2,-1,-2,2,0,0,1,2,1,3,3,1,0,0,1,0.0,2349.424248032161,110.30608606212044,587.3560620080402,0.25,0.75,27.0,844.79,17.0,983.8,0,0,1,0,0,0
4486,ContQ,1,0.0,-6,6,-1,7,0,0,-3,1,0,-1,0,2,0,4,0,3,-2,-1,-1,-2,0.0,4732.709958432642,1183.1774896081606,1183.1774896081606,0.5,0.5,120.0,285.03,37.0,742.56,0,1,0,0,0,0
4487,ContQ,1,0.0,-1,1,0,-2,-1,2,0,-1,1,0,0,-2,2,-3,1,-1,4,0,-2,2,0.0,3994.7609813029467,1331.5869937676484,1331.5869937676484,1.0,1.0,67.0,506.39,86.0,392.24,0,1,0,0,0,0
4488,ContQ,1,-1.0,2,-2,-2,-1,-1,0,1,1,0,0,-2,-1,-1,-3,1,2,-1,2,2,1,0.0,2504.5439878156117,834.8479959385373,834.8479959385373,0.0,0.0,133.0,265.08,129.0,273.13,0,1,0,0,0,0
4489,ContQ,1,1.0,1,-1,-3,-4,-1,-3,2,-2,0,-1,1,-6,0,-2,-2,-2,-1,-1,-2,-7,0.0,5910.732537498546,1182.1465074997093,1182.1465074997093,-0.6,-0.6,101.0,332.69,204.0,0.0,0,1,0,0,0,0
4490,ContQ,1,0.0,-1,1,0,1,0,-1,0,0,4,3,0,1,-1,-1,-2,3,-1,1,-2,1,8.40890398643825,4146.713716765492,1036.678429191373,1036.678429191373,0.75,0.75,135.0,263.08,36.0,743.83,0,1,0,0,0,0
4491,ContQ,1,-1.0,0,0,0,-1,-2,0,-2,0,3,1,1,0,1,0,-2,2,0,1,-1,-2,0.0,6053.697295414289,1513.4243238535723,1513.4243238535723,0.5,0.5,104.0,329.1,63.0,540.45,0,1,0,0,0,0
4492,ContQ,1,0.0,0,0,1,0,2,2,1,0,-2,1,0,0,1,0,1,3,-2,1,2,0,498.89640993691177,4271.933086091583,3679.0699752880064,3679.0699752880064,2.333333333333333,2.333333333333333,70.0,499.75,61.0,550.86,0,1,0,0,0,0
4493,ContQ,1,1.0,1,-1,3,2,-1,-1,0,1,-1,6,2,2,0,0,-1,0,3,0,3,1,0.0,2432.366828561765,810.7889428539219,810.7889428539219,0.6666666666666666,0.6666666666666666,81.0,423.77,31.0,789.38,0,1,0,0,0,0
4494,ContQ,1,-1.0,-1,1,1,3,-2,0,-1,0,0,-2,-1,2,-2,3,-1,-1,2,0,0,1,0.0,548.2529272082871,182.75097573609585,182.75097573609585,0.0,0.0,109.0,305.97,58.0,565.0,0,1,0,0,0,0
4495,ContQ,1,0.0,-1,1,-1,-2,0,-1,-1,-1,-1,0,-2,-1,0,4,0,0,1,2,2,1,0.0,514.708653833234,128.6771634583085,128.6771634583085,0.0,0.0,164.0,135.42,106.0,319.68,0,1,0,0,0,0
4496,ContQ,1,1.0,-1,1,0,0,-3,-3,1,1,1,2,1,-1,0,3,-1,-1,0,-2,0,-3,0.0,3608.156074846385,1203.4490892750537,1203.4490892750537,-0.6666666666666666,-0.6666666666666666,85.0,396.68,172.0,120.21,0,1,0,0,0,0
4497,ContQ,1,1.0,0,0,2,-1,2,0,-1,3,4,0,-1,2,3,0,4,0,3,2,1,3,181.64168122195838,3374.7788765194023,809.5820990551538,809.5820990551538,0.25,0.25,53.0,589.29,62.0,546.82,0,1,0,0,0,0
4498,ContQ,1,-1.0,-2,2,-5,-2,0,2,-3,3,0,0,-3,2,0,-2,2,-1,4,-1,2,2,0.0,2115.4466844838753,705.1488948279582,705.1488948279582,0.3333333333333333,0.3333333333333333,108.0,312.36,48.0,603.48,0,1,0,0,0,0
4499,ContQ,1,1.0,-2,2,0,-2,-2,-1,0,0,0,-1,-2,-1,0,-1,0,3,-1,-4,1,-4,0.0,4019.0960765530212,1338.7193927469245,1338.7193927469245,-0.6666666666666666,-0.6666666666666666,153.0,185.78,191.0,56.46,0,1,0,0,0,0
4500,ContQ,1,0.0,-1,1,-3,-1,-1,5,0,0,-2,0,2,1,1,1,-1,0,0,-1,-2,-1,0.0,3516.956967084892,855.5543611791859,855.5543611791859,-0.25,-0.25,101.0,332.89,47.0,609.22,0,1,0,0,0,0
4501,FSS,1,1.0,2,1,3,-1,-3,-2,1,1,-3,3,0,-2,2,1,4,1,4,-2,0,-3,0.0,95.38054274047742,315.72972032616934,16.451906996814174,0.0,0.0,121.0,283.63,90.0,372.64,0,0,1,0,0,0
4502,FSS,1,1.0,-1,1,-3,0,-1,1,6,2,-3,-2,1,4,0,-1,-5,0,10,2,-1,0,0.0,1255.7609320489032,237.75650283149184,208.79362017268346,0.0,0.0,159.0,149.93,143.0,227.45,0,0,1,0,0,0
4503,WM-Q,1,1.0,0,0,-2,0,2,-1,2,-1,-2,0,-1,-3,0,0,0,-2,-2,1,3,1,0.0,232.70943776165592,58.17735944041399,58.17735944041399,0.0,0.0,89.0,375.09,99.0,340.41,0,0,0,0,0,1
4504,FSS,1,-1.0,1,5,-4,0,1,-3,-5,-2,-3,2,-10,-1,-7,2,-7,-1,-6,-1,-4,-2,0.0,775.0663161397101,0.0,86.11847957107888,0.0,0.0,178.0,87.98,161.0,138.62,0,0,1,0,0,0
4505,WM-Q,1,1.0,-2,2,1,1,1,2,0,4,5,-1,-1,0,0,0,-3,2,1,-1,0,-1,1036.0073495860418,2900.009867330484,725.0024668326213,725.0024668326213,0.5,0.5,30.0,791.89,95.0,353.5,0,0,0,0,0,1
4506,WM-Q,1,1.0,0,0,-1,1,1,-1,4,-1,-1,2,2,3,-1,2,-1,-1,0,1,-1,-1,0.0,1313.8316718162316,328.45791795405836,328.45791795405836,0.0,0.0,55.0,576.19,64.0,516.75,0,0,0,0,0,1
4507,WM-Q,1,1.0,0,0,-1,1,1,-2,1,-3,1,2,1,-1,-1,-2,1,1,-1,1,0,1,0.0,1187.3319505747695,296.83298764369215,296.83298764369215,-0.25,-0.25,33.0,784.47,52.0,593.1,0,0,0,0,0,1
4508,WM-Q,1,1.0,3,-3,2,-1,2,0,3,1,1,0,0,0,0,3,0,0,2,-1,0,0,0.0,3256.8492876400805,985.0975532945122,985.0975532945122,0.25,0.25,22.0,902.48,87.0,384.66,0,0,0,0,0,1
4509,WM-Q,1,1.0,1,-1,0,-4,-1,-4,0,-5,1,1,0,-1,1,2,0,0,0,0,0,0,0.0,278.2344686069725,69.55861715174302,69.55861715174302,0.0,0.0,49.0,598.46,141.0,242.86,0,0,0,0,0,1
4510,WM-Q,1,1.0,1,-1,1,-1,0,2,0,-2,-2,-2,0,-7,7,-2,0,-5,5,1,0,0,570.9969509569657,1782.8102628780234,131.85480639478925,356.5620525756048,0.0,0.2,2.0,1456.62,72.0,498.62,0,0,0,0,0,1
4511,WM-Q,1,0.0,0,0,1,3,-1,0,0,2,1,-2,-1,3,-2,1,-5,0,0,1,0,-1,0.0,1131.6203973109762,713.903320535654,769.093053979377,0.2,-0.25,43.0,641.93,6.0,1254.25,0,0,0,0,0,1
4512,WM-Q,1,-1.0,0,-1,1,-3,-2,0,-2,1,-2,2,-1,1,0,0,-3,1,-1,1,-1,5,268.247962495066,4656.6750398436025,481.96800063747605,931.3350079687204,0.1,-0.3,75.0,479.91,5.0,1307.49,0,0,0,0,0,1
4513,WM-Q,1,1.0,1,0,-1,2,0,1,-3,2,2,2,0,2,0,1,0,-1,1,-2,-1,4,0.0,1307.977376085034,625.9597930600469,261.59547521700694,-0.2,0.0,8.0,1215.28,13.0,1038.9,0,0,0,0,0,1
4514,WM-Q,1,1.0,0,0,3,-3,-1,1,3,-1,2,-2,-1,0,1,-1,-1,2,0,-1,-1,2,0.0,3291.4161448804066,921.072613446789,658.2832289760812,0.0,0.4,11.0,1082.47,42.0,646.04,0,0,0,0,0,1
4515,WM-Q,1,1.0,1,3,2,2,2,-2,2,2,4,-4,4,4,1,-1,-2,-1,-1,0,-4,0,0.0,2398.272657605076,0.0,479.65453152101514,0.0,0.4,74.0,484.31,132.0,269.4,0,0,0,0,0,1
4516,WM-Q,1,1.0,-4,-3,-3,-3,1,-2,-1,-3,-3,-12,2,-1,2,-1,-1,-15,-4,-2,1,-6,0.0,3094.4030349914137,1035.88742564932,0.0,-0.6,0.0,158.0,161.16,193.0,49.04,0,0,0,0,0,1
4517,WM-Q,1,1.0,7,8,4,1,3,-1,-2,2,3,3,5,2,1,3,0,4,0,0,0,3,0.0,14071.968135288356,233.10143076905808,2814.3936270576696,0.1,1.8,67.0,505.85,82.0,413.65,0,0,0,0,0,1
4518,WM-Q,1,1.0,4,2,0,3,12,-1,-1,4,3,1,0,1,0,15,2,4,-2,1,6,-1,1303.8989162327791,5568.612022149684,129.4925068323107,1113.722404429937,0.0,1.0,96.0,350.77,80.0,440.99,0,0,0,0,0,1
4519,WM-Q,1,-1.0,-7,1,5,-3,-3,2,0,0,-3,0,0,-1,-2,2,-1,-2,2,-4,-5,-6,0.0,685.1060999912379,2170.4200808819073,0.0,-1.1,0.0,150.0,192.96,105.0,324.34,0,0,0,0,0,1
4520,WM-Q,1,1.0,-1,2,-1,-2,-2,1,0,0,-4,1,2,0,2,-2,1,1,-1,2,-3,1,0.0,2747.1524259849216,1155.1514318442814,0.0,0.6,0.0,135.0,263.35,94.0,355.68,0,0,0,0,0,1
4521,FSS,1,0.0,-2,-2,-1,-4,-6,0,1,-3,2,0,-1,1,-10,-1,0,0,-6,-2,0,-3,111.95216622323036,2516.3500469034343,1428.5798861298135,0.0,1.0,0.0,166.0,128.51,195.0,44.3,0,0,1,0,0,0
4522,WM-Q,1,0.0,-1,-1,-2,-4,-2,-5,1,2,7,-2,0,0,2,-9,-3,-1,0,-2,-1,0,38.18738023573018,6311.81768285296,1592.1735333574295,1589.5032597770319,-1.2,-1.0,145.0,214.57,154.0,168.98,0,0,0,0,0,1
4523,WM-Q,1,1.0,4,1,6,-1,2,-1,0,3,0,0,3,1,6,0,0,2,1,1,-2,1,0.0,1516.9755693584475,84.692728282831,303.39511387168943,0.0,0.1,44.0,626.53,97.0,341.55,0,0,0,0,0,1
4524,WM-Q,1,1.0,-2,-10,6,-8,0,-1,0,0,0,-7,0,-1,6,0,-1,1,-2,3,-4,-4,42.37283646248308,10551.686887115764,401.24421118028124,0.0,-0.2,0.0,117.0,290.21,170.0,127.08,0,0,0,0,0,1
4525,WM-Q,1,0.0,2,2,5,10,1,0,1,1,8,1,4,7,-1,1,0,1,10,-2,1,3,0.0,706.7192614700484,0.0,301.9833700547761,0.0,0.2,64.0,517.42,60.0,562.38,0,0,0,0,0,1
