,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
1675,FSS,0,1.0,-2,-1,1,0,1,-1,-1,1,-1,-1,-3,-2,0,0,1,0,-2,-1,0,0,3315.271612109796,4484.76559306288,0.0,0.0,0.0,0.0,105.0,1465.4241070138,116.0,1426.74694110393,0,0,1,0,0,0
1676,FSS,1,0.0,-1,-3,-2,1,2,-2,1,3,2,1,1,6,2,2,1,2,-2,0,1,1,0.0,1798.8971203539184,0.0,0.0,0.0,0.0,38.0,1673.51094583942,11.0,1760.9714011144001,0,0,1,0,0,0
1677,FSS,1,-1.0,-1,2,-2,-1,-3,3,-6,-2,-1,2,-2,-2,-4,1,-3,-1,0,-2,-3,-2,0.0,2266.8534683830176,0.0,0.0,0.0,0.0,180.0,1196.50396780076,93.0,1498.1270216517498,0,0,1,0,0,0
1678,FSS,1,1.0,-1,-3,1,3,-1,-3,-3,-4,-5,-2,-1,-2,-2,0,-1,1,0,-3,-3,-4,0.0,1315.34368517489,0.0,0.0,0.0,0.0,166.0,1295.9369269267,162.0,1305.63570126451,0,0,1,0,0,0
1679,FSS,1,-1.0,-3,3,0,-1,-1,1,1,2,-2,-1,-2,1,0,2,0,-1,0,2,-1,2,0.0,938.3382437334179,0.0,0.0,0.0,0.0,66.0,1563.1854655215,7.0,1803.2493538547799,0,0,1,0,0,0
1680,FSS,1,1.0,1,-3,-1,3,0,-1,-1,2,-2,0,0,1,0,1,0,4,0,4,0,0,0.0,2029.110224102792,0.0,0.0,0.0,0.0,94.0,1498.0071416355402,37.0,1674.1729954178,0,0,1,0,0,0
1681,FSS,1,1.0,-1,1,5,-1,-1,1,2,-3,1,3,-2,0,2,0,2,4,2,2,1,-3,0.0,1499.9171493456558,0.0,0.0,0.0,0.0,10.0,1770.1336179752698,26.0,1702.1401013576099,0,0,1,0,0,0
1682,FSS,1,1.0,0,0,0,1,-2,0,5,5,-2,0,-1,0,0,0,1,-1,-2,2,1,0,441.22434424848177,821.4693504894627,0.0,0.0,0.0,0.0,42.0,1653.9093578426098,33.0,1685.02633127414,0,0,1,0,0,0
1683,FSS,1,-1.0,0,-1,-1,-2,-3,-2,1,0,2,1,-3,3,1,0,2,-2,-4,-1,-2,-1,181.7079227966597,200.08751748024108,0.0,0.0,0.0,0.0,71.0,1548.7522497448902,85.0,1522.57747475917,0,0,1,0,0,0
1684,FSS,1,0.0,1,-2,3,2,-1,2,2,3,-2,1,4,3,0,0,-4,0,2,1,-3,-1,230.3513473987664,765.2253781901859,0.0,0.0,0.0,0.0,16.0,1725.7786452740195,8.0,1796.1790541641299,0,0,1,0,0,0
1685,FSS,1,0.0,1,0,-1,1,2,1,1,-1,2,0,-1,3,-1,0,-1,-2,-2,0,1,-1,0.0,1437.2273193860017,0.0,0.0,0.0,0.0,80.0,1535.6318018370996,19.0,1717.37342709111,0,0,1,0,0,0
1686,FSS,1,-1.0,-1,3,-1,0,-2,0,1,1,-3,-2,-3,3,0,-2,-3,1,-2,0,-3,0,0.0,683.4233872734945,0.0,0.0,0.0,0.0,181.0,1189.1373305653,55.0,1595.8662181657598,0,0,1,0,0,0
1687,FSS,1,-1.0,1,-1,-2,0,-2,-7,0,-1,3,-3,0,-5,-1,-3,2,0,2,-2,-2,1,142.04310857204158,1002.4181600827832,0.0,0.0,0.0,0.0,182.0,1171.85725561117,183.0,1170.04251742415,0,0,1,0,0,0
1688,WM-Q,-1,0.0,0,0,0,-1,-2,-4,-4,-1,2,1,-1,-6,0,2,1,-2,-9,0,-4,-6,1506.2157439352459,0.0,0.0,0.0,0.0,0.0,178.0,1221.87579297284,177.0,1226.97290002019,0,0,0,0,0,1
1689,WM-Q,0,-1.0,0,0,-7,-1,-2,-2,-2,2,-4,-1,1,-3,-1,-3,-3,-2,-1,0,-3,4,2848.6393838659833,2906.5271752223907,0.0,0.0,0.0,0.0,185.0,1153.8053576325399,165.0,1301.42738222562,0,0,0,0,0,1
1690,FSS,1,-1.0,-2,2,-9,-1,5,0,0,-7,10,-1,-1,-3,-3,-5,-10,-3,-2,0,-8,-2,0.0,4654.09997991492,0.0,623.8884034438264,0.0,0.375,183.0,1163.18617529364,182.0,1182.73399275725,0,0,1,0,0,0
1691,FSS,0,-1.0,-3,-5,-14,-1,-10,1,9,-3,1,-4,-3,0,-3,3,-11,0,-21,1,-3,1,2746.6072717403617,4864.539588426603,0.0,0.0,0.0,0.0,207.0,687.5037501416341,176.0,1226.98562885622,0,0,1,0,0,0
1692,FSS,1,1.0,-1,-1,-1,0,0,1,-2,1,3,1,-1,-1,-1,1,0,1,-4,0,3,0,0.0,2509.7497454298145,0.0,0.0,0.0,0.0,147.0,1354.44083153907,140.0,1371.50148580402,0,0,1,0,0,0
1693,FSS,1,1.0,-1,-4,-2,-3,-9,-14,5,-10,0,9,10,1,-1,-3,-3,-3,-10,-11,-2,-21,0.0,2746.6072717403617,0.0,0.0,0.0,0.0,183.0,1163.18617529364,207.0,687.5037501416341,0,0,1,0,0,0
1694,FSS,0,-1.0,1,4,2,-5,-1,-1,0,1,-7,-3,-1,-4,-3,0,-5,3,-3,0,0,1,4654.09997991492,4864.539588426603,0.0,0.0,0.0,0.0,182.0,1182.73399275725,176.0,1226.98562885622,0,0,1,0,0,0
